candidate,gene_set_scope,source,native,name,p_value,significant,query_size,term_size,intersection_size,effective_domain_size,precision,recall,intersection_genes,intersection_evidence_codes
Belinostat,disease_up_drug_down,GO:BP,GO:0009987,cellular process,0.0106898886968836,True,95,10387,95,11154,1.0,0.009146047944546,11065 | 81620 | 4171 | 5427 | 1019 | 84823 | 57761 | 9133 | 5347 | 2305 | 890 | 51512 | 24137 | 146909 | 80758 | 55355 | 55635 | 23397 | 54982 | 22974 | 11130 | 57405 | 10024 | 9055 | 1063 | 4288 | 56992 | 1894 | 6241 | 220134 | 4085 | 4192 | 10460 | 2237 | 7371 | 26586 | 9837 | 4176 | 80324 | 23234 | 5901 | 55734 | 7298 | 8099 | 332 | 4001 | 6839 | 79019 | 9319 | 51067 | 4282 | 3832 | 10403 | 5888 | 22827 | 10330 | 5984 | 8985 | 3068 | 3978 | 7153 | 10112 | 9787 | 259266 | 699 | 83461 | 79228 | 4234 | 55143 | 4521 | 3161 | 23481 | 7272 | 1058 | 9212 | 9833 | 3833 | 55215 | 6472 | 54606 | 6723 | 23649 | 8568 | 4751 | 4605 | 23658 | 11339 | 10813 | 8091 | 57109 | 26472 | 993 | 54663 | 4150 | 5036,IDA | IMP | IBA | TAS | IEA | NAS | ISS | IEP | ISO | HMP | IGI | IC | IPI
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-68949,Orc1 removal from chromatin,0.0107245979495199,True,95,61,4,11154,0.0421052631578947,0.0655737704918032,81620 | 4171 | 890 | 4176,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0051647,nucleus localization,0.0113396718581248,True,95,25,3,11154,0.031578947368421,0.12,84823 | 10460 | 4001,IBA
Belinostat,disease_up_drug_down,GO:BP,GO:0051642,centrosome localization,0.0113396718581248,True,95,25,3,11154,0.031578947368421,0.12,4085 | 9787 | 259266,IMP | IBA | IEA
Belinostat,disease_up_drug_down,GO:BP,GO:0061842,microtubule organizing center localization,0.0113396718581248,True,95,25,3,11154,0.031578947368421,0.12,4085 | 9787 | 259266,IMP | IBA | IEA
Belinostat,disease_up_drug_down,GO:CC,GO:0036064,ciliary basal body,0.0128508990711188,True,95,216,7,11154,0.0736842105263157,0.0324074074074074,1063 | 220134 | 10460 | 26586 | 3832 | 23649 | 4751,IEA | IDA
Belinostat,disease_up_drug_down,GO:MF,GO:0008094,"ATP-dependent activity, acting on DNA",0.0128667917760364,True,95,89,5,11154,0.0526315789473684,0.0561797752808988,4171 | 4176 | 5888 | 5984 | 7153,IBA | IEA | IDA | IMP
Belinostat,disease_up_drug_down,REAC,REAC:R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,0.0133498104388917,True,95,65,4,11154,0.0421052631578947,0.0615384615384615,11065 | 890 | 4085 | 4751,REAC
Belinostat,disease_up_drug_down,GO:BP,GO:0062033,positive regulation of mitotic sister chromatid segregation,0.0137668497928247,True,95,7,2,11154,0.0210526315789473,0.2857142857142857,220134 | 9212,IMP | IDA
Belinostat,disease_up_drug_down,GO:BP,GO:1902410,mitotic cytokinetic process,0.0141062916402282,True,95,27,3,11154,0.031578947368421,0.1111111111111111,1894 | 10112 | 9212,IMP | ISS
