description,effective_domain_size,goshv,intersection_size,intersections,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id,candidate,gene_set_scope,intersection_genes,intersection_evidence_codes
"""Binds to and stops, prevents or reduces the activity of metalloendopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain and contain a chelated metal ion at their active sites which is essential to their catalytic activity."" [GOC:ai]",11154,1564,3,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""NAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",metalloendopeptidase inhibitor activity,GO:0008191,0.0367922077043921,"[""GO:0004866""]",0.015,query_1,200,0.21428571428571427,True,GO:MF,14,1564,12,Vorinostat,all_selected,1285 | 8434 | 7078,NAS | IDA | TAS | IEA | IBA
"""A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."" [PMID:24878343, PMID:25750732, PMID:32933017, PMID:33818025, PMID:33873056, PMID:33988324]",11154,9386,17,"[[], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [""ISS"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [""IDA"", ""IEA""], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], []]",ATP-dependent activity,GO:0140657,0.03731320543897223,"[""GO:0003674""]",0.085,query_1,200,0.03944315545243619,True,GO:MF,431,9386,1,Vorinostat,all_selected,4171 | 24137 | 146909 | 56992 | 5888 | 80179 | 4176 | 54821 | 9319 | 3833 | 54606 | 3835 | 8438 | 10112 | 10721 | 80221 | 4174,IBA | IEA | TAS | ISS | IDA | IMP | NAS
"""Generation of movement along a single- or double-stranded DNA molecule, driven by ATP hydrolysis."" [GOC:mah, PMID:16428451, PMID:17631491]",11154,2569,2,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",DNA translocase activity,GO:0015616,0.03731320543897223,"[""GO:0008094""]",0.01,query_1,200,0.5,True,GO:MF,4,2569,1,Vorinostat,all_selected,54821 | 8438,IDA | IBA
"""A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy."" [PMID:28977640]",11154,35416,13,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [""IEA""], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [""TAS""], [], [], [], [], [], [], [], [], [], [], [], [], []]",nuclear speck,GO:0016607,0.0378782923428509,"[""GO:0140168""]",0.065,query_1,200,0.04075235109717868,True,GO:CC,319,747,13,Vorinostat,all_selected,11170 | 11339 | 79228 | 79728 | 10403 | 3164 | 57109 | 3835 | 11338 | 64344 | 4929 | 4303 | 10915,IDA | IEA | IBA | TAS
"""A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits."" [GOC:dos]",11154,37962,17,"[[], [], [], [], [""IEA""], [], [], [], [], [], [""TAS"", ""IEA""], [], [], [], [], [], [], [], [""IDA""], [], [], [""IDA"", ""IBA"", ""IEA""], [""IDA"", ""IBA"", ""IEA""], [], [], [], [""IBA"", ""IEA""], [], [""IDA"", ""IBA"", ""IEA""], [""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [""IEA""], [], [], [], [], [], [], []]",polymeric cytoskeletal fiber,GO:0099513,0.0378782923428509,"[""GO:0005856"", ""GO:0099512""]",0.085,query_1,200,0.036016949152542374,True,GO:CC,472,3293,13,Vorinostat,all_selected,84823 | 24137 | 5347 | 51512 | 146909 | 56992 | 220134 | 9055 | 6790 | 4001 | 22974 | 3833 | 259266 | 3835 | 10112 | 26586 | 9817,IEA | TAS | IDA | IBA
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a steroid hormone stimulus."" [GOC:go_curators]",11154,22100,12,"[[], [], [], [], [], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [""ISS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",response to steroid hormone,GO:0048545,0.03790770784189625,"[""GO:0009725"", ""GO:0033993""]",0.06,query_1,200,0.04633204633204633,True,GO:BP,259,11977,42,Vorinostat,all_selected,6943 | 2354 | 5730 | 210 | 11170 | 842 | 4306 | 2353 | 7023 | 10628 | 8013 | 57658,ISS | IEA | IBA
"""Catalysis of a reaction that alters the conformation of a nucleic acid."" [EC:5.6.2.-]",11154,9121,8,"[[], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP""], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], []]",nucleic acid conformation isomerase activity,GO:0120545,0.03796672716975952,"[""GO:0120543""]",0.04,query_1,200,0.06299212598425197,True,GO:MF,127,9121,1,Vorinostat,all_selected,4171 | 5888 | 4176 | 54821 | 54606 | 8438 | 10721 | 4174,IBA | IEA | IDA | IMP | TAS
"""Binding to an adenyl nucleotide, an adenosine esterified with (ortho)phosphate."" [ISBN:0198506732]",11154,3665,36,"[[], [], [], [""IEA""], [], [], [], [], [], [], [""IEA""], [], [""IEA""], [], [], [], [""IEA""], [], [""IMP"", ""IEA""], [""IEA""], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [""IEA""], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [""IBA"", ""IEA""], [], [""NAS"", ""IEA""], [], [], [], [], [""TAS"", ""IEA""], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [""IEA""], [], [], [""IEA""], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [""IEA""], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], []]",adenyl nucleotide binding,GO:0030554,0.038623423964754856,"[""GO:0017076""]",0.18,query_1,200,0.029197080291970802,True,GO:MF,1233,3665,3,Vorinostat,all_selected,4171 | 24137 | 7272 | 57761 | 5347 | 1019 | 146909 | 56992 | 5888 | 80179 | 10733 | 4176 | 4288 | 54821 | 11065 | 6790 | 5577 | 9319 | 51067 | 7371 | 3833 | 3030 | 699 | 54606 | 1841 | 3835 | 701 | 8438 | 9088 | 316 | 10112 | 10721 | 80221 | 3654 | 55226 | 4174,IEA | IMP | IDA | IBA | NAS | TAS
"""Any process that stops, prevents, or reduces the frequency, rate or extent of reproductive process."" [GOC:mah]",11154,33829,5,"[[], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS""], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",negative regulation of reproductive process,GO:2000242,0.03873762022259327,"[""GO:0022414"", ""GO:0048519"", ""GO:2000241""]",0.025,query_1,200,0.09433962264150944,True,GO:BP,53,23706,26,Vorinostat,all_selected,7272 | 11130 | 5730 | 9319 | 9088,IBA | IEA | ISS
RHOT1 GTPase cycle,11154,41269,2,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""REAC""], [], [], [], []]",RHOT1 GTPase cycle,REAC:R-HSA-9013425,0.03898287237973115,"[""REAC:R-HSA-9715370""]",0.01,query_1,200,0.4,True,REAC,5,1945,60,Vorinostat,all_selected,80179 | 66008,REAC
"""Binding to an adenyl ribonucleotide, any compound consisting of adenosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",11154,4170,34,"[[], [], [], [""IEA""], [], [], [], [], [], [], [""IEA""], [], [""IEA""], [], [], [], [""IEA""], [], [""IMP"", ""IEA""], [""IEA""], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [""IEA""], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [""IBA"", ""IEA""], [], [""NAS"", ""IEA""], [], [], [], [], [""TAS"", ""IEA""], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [""IEA""], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [""IEA""], [], [""IEA""], [], [], [], [], [], [""IEA""], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], []]",adenyl ribonucleotide binding,GO:0032559,0.038984357464881436,"[""GO:0030554"", ""GO:0032555""]",0.17,query_1,200,0.029668411867364748,True,GO:MF,1146,4170,3,Vorinostat,all_selected,4171 | 24137 | 7272 | 57761 | 5347 | 1019 | 146909 | 56992 | 5888 | 80179 | 10733 | 4176 | 4288 | 54821 | 11065 | 6790 | 5577 | 9319 | 51067 | 7371 | 3833 | 699 | 54606 | 1841 | 3835 | 701 | 8438 | 9088 | 10112 | 10721 | 80221 | 3654 | 55226 | 4174,IEA | IMP | IDA | IBA | NAS | TAS
"""Any process that modulates the frequency, rate or extent of reproductive process."" [GOC:mah]",11154,33828,8,"[[], [], [], [], [], [], [], [], [], [], [], [], [""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS""], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",regulation of reproductive process,GO:2000241,0.039317655478341054,"[""GO:0022414"", ""GO:0050789""]",0.04,query_1,200,0.06060606060606061,True,GO:BP,132,23705,26,Vorinostat,all_selected,7272 | 11130 | 5730 | 6790 | 9319 | 259266 | 10370 | 9088,IBA | IEA | ISS
"""A ribonucleoprotein granule located in the nucleus."" [PMID:32475683, PMID:35355287, PMID:37890457]",11154,38148,14,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [""IDA""], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IBA""], [], [], [""IEA""], [], [], [""IDA""], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [""TAS""], [], [], [], [], [], [], [], [], [], [], [], [], []]",nuclear ribonucleoprotein granule,GO:0140168,0.03977573514989235,"[""GO:0016604"", ""GO:0035770""]",0.07,query_1,200,0.03899721448467967,True,GO:CC,359,3479,13,Vorinostat,all_selected,11170 | 11339 | 79228 | 79728 | 10403 | 3164 | 57109 | 3835 | 11338 | 64344 | 4929 | 3297 | 4303 | 10915,IDA | IEA | IBA | TAS
"""The cell cycle process in which centrosome duplication and separation takes place. The centrosome cycle can operate with a considerable degree of independence from other processes of the cell cycle."" [ISBN:0815316194]",11154,12670,7,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [""ISS""], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IMP"", ""NAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], []]",centrosome cycle,GO:0007098,0.04005541487292126,"[""GO:0022402"", ""GO:0031023""]",0.035,query_1,200,0.0673076923076923,True,GO:BP,104,2547,26,Vorinostat,all_selected,5347 | 56992 | 10733 | 6790 | 10403 | 55226 | 675,IMP | ISS | IDA | NAS | IEA | TAS
"""Any process that activates, maintains or increases the rate of ubiquitin transferase activity."" [GOC:ai, GOC:tb]",11154,22918,3,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS""], [], [""IDA"", ""IMP""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""TAS""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",positive regulation of ubiquitin-protein transferase activity,GO:0051443,0.040357493448513825,"[""GO:0031398"", ""GO:0043085"", ""GO:0051438""]",0.015,query_1,200,0.1875,True,GO:BP,16,12795,29,Vorinostat,all_selected,57761 | 5347 | 11065,ISS | IDA | IMP | TAS
"""Any nuclear DNA replication that is involved in a mitotic cell cycle."" [GO_REF:0000060, GOC:TermGenie]",11154,31213,3,"[[], [], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP""], [], [], [], [], [], [], [], [], [], [], []]",mitotic DNA replication,GO:1902969,0.040357493448513825,"[""GO:0033260"", ""GO:1903047""]",0.015,query_1,200,0.1875,True,GO:BP,16,21090,26,Vorinostat,all_selected,4171 | 5888 | 675,IBA | IEA | IMP
"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]",11154,16308,14,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA""], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""ISS"", ""IBA"", ""IEA""], [""IEA""], [""IEA""], [], [], [], [], [""IEA""], [], [], [], [""IBA""], [], [""IDA"", ""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IC"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [], [""IMP"", ""IBA"", ""TAS"", ""IEA""], [], [""IBA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IMP"", ""IBA"", ""IEA""], [], [], [], [], [], [""IDA"", ""IBA"", ""TAS"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",ribonucleoprotein complex biogenesis,GO:0022613,0.04048768584564328,"[""GO:0044085""]",0.07,query_1,200,0.042042042042042045,True,GO:BP,333,6185,27,Vorinostat,all_selected,5901 | 6839 | 705 | 8568 | 54606 | 57109 | 22827 | 4839 | 23481 | 54663 | 79922 | 11338 | 23212 | 55226,IMP | IBA | IEA | ISS | IDA | IC | TAS
"""The eventual plane of cell division (also known as cell cleavage or cytokinesis) in a dividing cell. In Eukaryotes, the cleavage apparatus, composed of septin structures and the actomyosin contractile ring, forms along this plane, and the mitotic, or meiotic, spindle is aligned perpendicular to the division plane. In bacteria, the cell division site is generally located at mid-cell and is the site at which the cytoskeletal structure, the Z-ring, assembles."" [GOC:bf, GOC:imk, GOC:krc, GOC:ns, PMID:12101122, PMID:15380095, PMID:16983191, PMID:18165305]",11154,35895,4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA"", ""IEA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [""IDA""], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",cell division site,GO:0032153,0.04121443213777093,"[""GO:0110165""]",0.02,query_1,200,0.1,True,GO:CC,40,1226,15,Vorinostat,all_selected,1894 | 10733 | 388 | 10112,IDA | IEA
